question_id,question,answer,job_role,question_type
1,"Find the next number in the series: 2, 6, 12, 20, 30, ? (A) 40 (B) 42 (C) 44 (D) 46",(B),Data Scientist,Aptitude
2,A car covers a distance of 690 km in 30 hours. What is the average speed of the car in km/hr? (A) 23 (B) 25 (C) 20 (D) 21,(A),Data Scientist,Aptitude
3,"If the price of an item is increased by 20% and then decreased by 20%, what is the net percentage change? (A) 0% (B) 4% increase (C) 4% decrease (D) 2% decrease",(C),Data Scientist,Aptitude
4,"A can do a piece of work in 10 days, and B can do it in 15 days. In how many days will they finish the work together? (A) 5 (B) 6 (C) 8 (D) 12",(B),Data Scientist,Aptitude
5,What is the probability of getting a sum of 9 from two throws of a dice? (A) 1/6 (B) 1/8 (C) 1/9 (D) 1/12,(C),Data Scientist,Aptitude
6,"In a certain code, 'TEACHER' is written as 'VGCEJGT'. How is 'CHILDREN' written in that code? (A) EJKNEGTP (B) EJKNFTGP (C) EJLNFTGP (D) EJLNFGTP",(B),Data Scientist,Aptitude
7,"Pointing to a photograph, a man said, 'I have no brother or sister, but that man's father is my father's son.' Whose photograph was it? (A) His own (B) His son's (C) His father's (D) His nephew's",(B),Data Scientist,Aptitude
8,Statement: All cats are animals. Statement: All tigers are animals. Conclusions: I. All cats are tigers. II. Some animals are not tigers. Which conclusion follows? (A) Only I (B) Only II (C) Both I and II (D) Neither I nor II,(D),Data Scientist,Aptitude
9,Choose the word which is the exact OPPOSITE of 'MITIGATE'. (A) Aggravate (B) Alleviate (C) Soothe (D) Relieve,(A),Data Scientist,Aptitude
10,Choose the best synonym for 'UBIQUITOUS'. (A) Rare (B) Scarce (C) Omnipresent (D) Solitary,(C),Data Scientist,Aptitude
11,Complete the sentence: The discovery of penicillin was a _______ event in the history of medicine. (A) fortuitous (B) futile (C) formidable (D) frugal,(A),Data Scientist,Aptitude
12,What is the value of 3/5 + 1/4? (A) 4/9 (B) 17/20 (C) 3/20 (D) 1,(B),Data Scientist,Aptitude
13,"If a train travels at 60 km/h, how far will it travel in 45 minutes? (A) 30 km (B) 40 km (C) 45 km (D) 50 km",(C),Data Scientist,Aptitude
14,"There are 6 people in a room. If each person shakes hands with every other person exactly once, how many handshakes are there in total? (A) 12 (B) 15 (C) 18 (D) 30",(B),Data Scientist,Aptitude
15,A farmer has some hens and some goats. He counts a total of 50 heads and 140 legs. How many goats does the farmer have? (A) 15 (B) 20 (C) 25 (D) 30,(B),Data Scientist,Aptitude
16,"Find the missing number: 8, 27, 64, ?, 216. (A) 100 (B) 112 (C) 125 (D) 150",(C),Data Scientist,Aptitude
17,"The cost price of 20 articles is the same as the selling price of x articles. If the profit is 25%, then the value of x is: (A) 16 (B) 18 (C) 25 (D) 24",(A),Data Scientist,Aptitude
18,"A boat can travel with a speed of 13 km/hr in still water. If the speed of the stream is 4 km/hr, find the time taken by the boat to go 68 km downstream. (A) 3 hours (B) 4 hours (C) 5 hours (D) 6 hours",(B),Data Scientist,Aptitude
19,"Look at this series: 36, 34, 30, 28, 24, ... What number should come next? (A) 20 (B) 26 (C) 23 (D) 22",(D),Data Scientist,Aptitude
20,"SCD, TEF, UGH, ____, WKL (A) VIJ (B) VJI (C) IJV (D) IJT",(A),Data Scientist,Aptitude
21,Cup is to coffee as bowl is to... (A) Dish (B) Spoon (C) Soup (D) Food,(C),Data Scientist,Aptitude
22,What is 15% of 300? (A) 45 (B) 50 (C) 30 (D) 15,(A),Data Scientist,Aptitude
23,"If a box contains 3 red, 5 blue, and 2 green marbles, what is the probability of picking a blue marble? (A) 1/5 (B) 3/10 (C) 1/2 (D) 5/2",(C),Data Scientist,Aptitude
24,"A father is twice as old as his son. 20 years ago, he was twelve times as old as his son. What is the present age of the father? (A) 44 years (B) 42 years (C) 40 years (D) 38 years",(A),Data Scientist,Aptitude
25,"How many 3-digit numbers can be formed from the digits 2, 3, 5, 6, 7 and 9, which are divisible by 5 and none of the digits is repeated? (A) 15 (B) 20 (C) 25 (D) 10",(B),Data Scientist,Aptitude
26,Choose the word that is most nearly the same in meaning to 'VERBOSE'. (A) Brief (B) Pithy (C) Laconic (D) Talkative,(D),Data Scientist,Aptitude
27,Choose the word that is the opposite of 'FRUGAL'. (A) Economical (B) Extravagant (C) Miserly (D) Thrifty,(B),Data Scientist,Aptitude
28,"Arrange the words given below in a meaningful sequence: 1. Key 2. Door 3. Lock 4. Room 5. Switch on (A) 5,4,2,1,3 (B) 4,2,1,3,5 (C) 1,3,2,4,5 (D) 1,2,3,5,4",(C),Data Scientist,Aptitude
29,What is the value of (102 * 98)? (A) 9996 (B) 9986 (C) 9994 (D) 9984,(A),Data Scientist,Aptitude
30,Solve for x: 2x + 5 = 15 (A) 10 (B) 5 (C) 7.5 (D) 20,(B),Data Scientist,Aptitude
31,A group of 1200 persons consisting of captains and soldiers is travelling in a train. For every 15 soldiers there is one captain. The number of captains in the group is: (A) 70 (B) 80 (C) 85 (D) 75,(D),Data Scientist,Aptitude
32,A man buys a cycle for $1400 and sells it at a loss of 15%. What is the selling price of the cycle? (A) $1200 (B) $1150 (C) $1190 (D) $1000,(C),Data Scientist,Aptitude
33,"If P means 'division', T means 'addition', M means 'subtraction' and D means 'multiplication', then what will be the value of the expression 12 M 12 D 28 P 7 T 15? (A) -21 (B) -15 (C) 15 (D) 45",(A),Data Scientist,Aptitude
34,Find the average of the first 50 natural numbers. (A) 25 (B) 25.5 (C) 26 (D) 26.5,(B),Data Scientist,Aptitude
35,"A clock is started at noon. By 10 minutes past 5, the hour hand has turned through: (A) 155 degrees (B) 150 degrees (C) 145 degrees (D) 160 degrees",(A),Data Scientist,Aptitude
36,"What is the least number that must be added to 1056, so that the sum is completely divisible by 23? (A) 21 (B) 18 (C) 3 (D) 2",(D),Data Scientist,Aptitude
37,Synonym for 'EFFICACIOUS' is: (A) Effective (B) Ineffective (C) Productive (D) Inefficient,(A),Data Scientist,Aptitude
38,Antonym for 'HOSTILITY' is: (A) Enmity (B) Animosity (C) Friendship (D) War,(C),Data Scientist,Aptitude
39,Find the correctly spelt word. (A) Mislaneous (B) Miscellaneous (C) Miscelaneous (D) Misselaneous,(B),Data Scientist,Aptitude
40,"A is B's sister. C is B's mother. D is C's father. E is D's mother. Then, how is A related to D? (A) Grandmother (B) Granddaughter (C) Daughter (D) Aunt",(B),Data Scientist,Aptitude
41,What is the square root of 225? (A) 15 (B) 25 (C) 12 (D) 18,(A),Data Scientist,Aptitude
42,"If 0.75 : X :: 5 : 8, then X is equal to: (A) 1.12 (B) 1.25 (C) 2.5 (D) 1.2",(D),Data Scientist,Aptitude
43,In how many different ways can the letters of the word 'LEADING' be arranged in such a way that the vowels always come together? (A) 360 (B) 480 (C) 720 (D) 5040,(C),Data Scientist,Aptitude
44,A sum of money at simple interest amounts to Rs. 815 in 3 years and to Rs. 854 in 4 years. The sum is: (A) Rs. 698 (B) Rs. 650 (C) Rs. 700 (D) Rs. 720,(A),Data Scientist,Aptitude
45,"If a person walks at 14 km/hr instead of 10 km/hr, he would have walked 20 km more. The actual distance travelled by him is: (A) 60 km (B) 50 km (C) 70 km (D) 80 km",(B),Data Scientist,Aptitude
46,Two numbers are respectively 20% and 50% more than a third number. The ratio of the two numbers is: (A) 2:5 (B) 3:5 (C) 4:5 (D) 6:7,(C),Data Scientist,Aptitude
47,"A grocer has a sale of Rs. 6435, Rs. 6927, Rs. 6855, Rs. 7230 and Rs. 6562 for 5 consecutive months. How much sale must he have in the sixth month so that he gets an average sale of Rs. 6500? (A) Rs. 4991 (B) Rs. 5991 (C) Rs. 6001 (D) Rs. 6991",(A),Data Scientist,Aptitude
48,"A and B invest in a business in the ratio 3 : 2. If 5% of the total profit goes to charity and A's share is $855, the total profit is: (A) $1400 (B) $1450 (C) $1550 (D) $1500",(D),Data Scientist,Aptitude
49,"If 'water' is called 'food', 'food' is called 'tree', 'tree' is called 'sky', 'sky' is called 'wall', on which of the following will a 'fruit' grow? (A) Water (B) Food (C) Sky (D) Tree",(C),Data Scientist,Aptitude
50,I am facing East. I turn 100 degrees in the clockwise direction and then 145 degrees in the anti-clockwise direction. Which direction am I facing now? (A) North-East (B) North (C) South-East (D) South-West,(A),Data Scientist,Aptitude
51,"**Data Set:** A pie chart shows student distribution. Total students: 1200. Arts: 25%, Science: 30%, Commerce: 20%, Engineering: 15%, Medicine: 10%. -- What is the number of students in the Science stream? (A) 360 (B) 300 (C) 240 (D) 180",(A),Data Scientist,Aptitude
52,**Using the same data set:** What is the ratio of the number of students in Commerce to the number of students in Engineering? (A) 2:3 (B) 3:2 (C) 4:3 (D) 3:4,(C),Data Scientist,Aptitude
53,**Using the same data set:** The number of students in Arts is what percentage more than the number of students in Medicine? (A) 100% (B) 150% (C) 200% (D) 250%,(B),Data Scientist,Aptitude
